nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
276	2.35	117.43	35.00	TERMINATING	5	9	14	Affine template / Affine template
277	1.22	134.49	35.00	TERMINATING	12	5	17	Affine template / Affine template
278	1.24	93.68	44.00	TERMINATING	17	19	36	Affine template / Affine template
279	2.36	102.40	30.00	TERMINATING	6	7	13	Affine template / Affine template
280	2.06	60.25	9.00	TERMINATING	5	2	7	Affine template / Affine template
281	0.43	50.83	10.00	TERMINATING	6	3	9	Affine template / Affine template
282	0.44	43.03	9.00	TERMINATING	7	1	8	Affine template / Affine template
283	0.34	47.79	9.00	TERMINATING	10	1	11	Affine template / Affine template
284	0.32	43.30	9.00	TERMINATING	11	1	12	Affine template / Affine template
285	0.26	37.41	9.00	TERMINATING	12	1	13	Affine template / Affine template
286	0.61	57.98	10.00	TERMINATING	6	3	9	Affine template / Affine template
287	0.48	43.90	10.00	TERMINATING	7	1	8	Affine template / Affine template
288	0.41	37.26	9.00	TERMINATING	10	1	11	Affine template / Affine template
289	1.93	63.92	11.00	TERMINATING	5	1	6	Affine template / Affine template
290	1.95	108.73	13.00	TERMINATING	128	26	154	Affine template / Affine template
291	0.43	74.79	16.00	TERMINATING	429	22	451	Affine template / Affine template
292	0.62	160.78	46.00	TERMINATING	467	13	480	Affine template / Affine template
293	0.52	86.33	25.00	TERMINATING	151	120	271	Affine template / Affine template
294	0.43	62.96	14.00	TERMINATING	182	27	209	Affine template / Affine template
295	0.89	67.24	12.00	TERMINATING	208	35	243	Affine template / Affine template
296	0.53	73.44	16.00	TERMINATING	212	35	247	Affine template / Affine template
297	0.44	64.40	13.00	TERMINATING	222	17	239	Affine template / Affine template
298	0.52	155.61	51.00	TERMINATING	229	22	251	Affine template / Affine template
299	2.06	101.91	12.00	TERMINATING	128	26	154	Affine template / Affine template
300	0.45	74.50	13.00	TERMINATING	429	22	451	Affine template / Affine template
301	0.49	142.21	42.00	TERMINATING	463	13	476	Affine template / Affine template
302	0.52	87.64	22.00	TERMINATING	151	120	271	Affine template / Affine template
303	0.42	60.05	10.00	TERMINATING	182	27	209	Affine template / Affine template
304	0.49	61.86	12.00	TERMINATING	208	35	243	Affine template / Affine template
305	0.54	67.36	15.00	TERMINATING	212	35	247	Affine template / Affine template
306	0.41	64.14	14.00	TERMINATING	222	17	239	Affine template / Affine template
307	0.52	150.67	38.00	TERMINATING	229	22	251	Affine template / Affine template
308	2.01	76.11	12.00	TERMINATING	128	26	154	Affine template / Affine template
309	0.48	87.97	20.00	TERMINATING	151	120	271	Affine template / Affine template
310	0.41	62.97	13.00	TERMINATING	182	27	209	Affine template / Affine template
311	0.53	69.03	13.00	TERMINATING	208	35	243	Affine template / Affine template
312	0.49	65.95	15.00	TERMINATING	212	35	247	Affine template / Affine template
313	0.37	66.11	14.00	TERMINATING	222	17	239	Affine template / Affine template
314	0.42	67.74	12.00	TERMINATING	230	22	252	Affine template / Affine template
315	0.42	86.11	17.00	TERMINATING	292	25	317	Affine template / Affine template
316	0.61	76.95	31.00	TERMINATING	330	67	397	Affine template / Affine template
317	0.51	81.67	25.00	TERMINATING	557	67	624	Affine template / Affine template
318	0.48	57.62	13.00	TERMINATING	121	25	146	Affine template / Affine template
319	1.77	2464.10	226.00	TERMINATING	5	5	10	Affine template / Affine template
320	1.92	2619.50	223.00	TERMINATING	5	5	10	Affine template / Affine template
321	2.17	54.71	5.00	TERMINATING	40	13	53	Affine template / Affine template
322	2.03	71.31	12.00	TERMINATING	5	2	7	Affine template / Affine template
323	1.73	68.45	9.00	TERMINATING	7	2	9	Affine template / Affine template
324	0.59	78.22	17.00	TERMINATING	8	5	13	Affine template / Affine template
325	3.51	63.51	8.00	TERMINATING	1	2	3	Affine template / Affine template
326	0.64	54.65	11.00	TERMINATING	2	5	7	Affine template / Affine template
327	1.73	48.53	6.00	TERMINATING	28	25	53	Affine template / Affine template
328	1.58	63.98	10.00	TERMINATING	7	2	9	Affine template / Affine template
329	0.90	136.61	39.00	TERMINATING	8	5	13	Affine template / Affine template
330	0.53	76.36	82.00	TERMINATING	20	5	25	Affine template / Affine template
331	0.55	152.55	58.00	TERMINATING	25	5	30	Affine template / Affine template
332	1.86	66.88	12.00	TERMINATING	7	2	9	Affine template / Affine template
333	0.89	158.47	40.00	TERMINATING	8	5	13	Affine template / Affine template
334	1.95	66.64	7.00	TERMINATING	44	13	57	Affine template / Affine template
335	0.30	46.56	9.00	TERMINATING	92	25	117	Affine template / Affine template
336	1.63	63.81	7.00	TERMINATING	7	2	9	Affine template / Affine template
337	0.75	115.62	29.00	TERMINATING	8	5	13	Affine template / Affine template
338	0.61	58.95	59.00	TERMINATING	20	5	25	Affine template / Affine template
339	0.59	152.63	50.00	TERMINATING	25	5	30	Affine template / Affine template
340	0.45	321.24	79.00	TERMINATING	30	5	35	Affine template / Affine template
341	2.05	45.44	5.00	TERMINATING	7	2	9	Affine template / Affine template
342	0.74	40.58	5.00	TERMINATING	8	1	9	Affine template / Affine template
343	1.83	61.75	10.00	TERMINATING	7	2	9	Affine template / Affine template
344	0.92	125.51	40.00	TERMINATING	8	5	13	Affine template / Affine template
345	1.83	49.52	7.00	TERMINATING	5	3	8	Affine template / Affine template
346	2.08	45.41	6.00	TERMINATING	5	3	8	Affine template / Affine template
347	1.84	30.70	7.00	TERMINATING	6	4	10	Affine template / Affine template
348	0.49	46.81	10.00	TERMINATING	9	4	13	Affine template / Affine template
349	0.47	46.63	10.00	TERMINATING	13	4	17	Affine template / Affine template
350	0.34	35.39	9.00	TERMINATING	14	8	22	Affine template / Affine template
351	0.37	41.38	11.00	TERMINATING	15	4	19	Affine template / Affine template
352	1.73	42.28	5.00	TERMINATING	5	4	9	Affine template / Affine template
353	1.71	50.43	5.00	TERMINATING	5	3	8	Affine template / Affine template
354	1.88	59.57	7.00	TERMINATING	5	1	6	Affine template / Affine template
355	1.80	50.84	9.00	TERMINATING	7	1	8	Affine template / Affine template
356	1.87	49.28	7.00	TERMINATING	6	1	7	Affine template / Affine template
357	2.28	66.62	9.00	TERMINATING	7	2	9	Affine template / Affine template
358	1.85	59.44	6.00	TERMINATING	5	1	6	Affine template / Affine template
359	1.96	51.54	9.00	TERMINATING	33	13	46	Affine template / Affine template
360	1.80	59.62	11.00	TERMINATING	40	28	68	Affine template / Affine template
