nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
223	3.50	3.50	2.00	NONTERMINATING	0	3	3	Fixpoint / Fixpoint
224	2.62	2.62	4.00	NONTERMINATING	18	5	23	Fixpoint / Fixpoint
225	4.45	4.45	2.00	NONTERMINATING	1	1	2	Fixpoint / Fixpoint
226	3.39	3.39	2.00	NONTERMINATING	5	5	10	Fixpoint / Fixpoint
227	1.92	56.06	3.00	NONTERMINATING	5	1	6	GNTA / GNTA
228	1.64	1.64	3.00	NONTERMINATING	22	22	44	Fixpoint / Fixpoint
229	2.12	83.03	5.00	NONTERMINATING	5	1	6	GNTA / GNTA
230	3.36	3.36	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
231	1.37	1.37	1.00	NONTERMINATING	28	24	52	Fixpoint / Fixpoint
232	3.46	3.46	1.00	NONTERMINATING	64	27	91	Fixpoint / Fixpoint
233	2.85	2.85	1.00	NONTERMINATING	20	9	29	Fixpoint / Fixpoint
234	3.57	3.57	1.00	NONTERMINATING	24	19	43	Fixpoint / Fixpoint
235	1.84	40.05	1.00	NONTERMINATING	20	9	29	GNTA / GNTA
236	2.79	2.79	1.00	NONTERMINATING	24	19	43	Fixpoint / Fixpoint
237	1.98	1.98	1.00	NONTERMINATING	31	23	54	Fixpoint / Fixpoint
238	1.81	40.47	1.00	NONTERMINATING	16	9	25	GNTA / GNTA
239	2.90	2.90	1.00	NONTERMINATING	24	9	33	Fixpoint / Fixpoint
240	1.74	39.75	1.00	NONTERMINATING	16	9	25	GNTA / GNTA
241	0.38	41.66	4.00	NONTERMINATING	23	13	36	GNTA / GNTA
242	2.94	2.94	1.00	NONTERMINATING	24	13	37	Fixpoint / Fixpoint
243	1.65	44.09	1.00	NONTERMINATING	20	9	29	GNTA / GNTA
244	3.47	3.47	2.00	NONTERMINATING	56	27	83	Fixpoint / Fixpoint
245	2.73	2.73	1.00	NONTERMINATING	28	19	47	Fixpoint / Fixpoint
246	3.14	3.14	1.00	NONTERMINATING	52	33	85	Fixpoint / Fixpoint
247	3.46	3.46	1.00	NONTERMINATING	118	21	139	Fixpoint / Fixpoint
248	2.96	41.84	1.00	NONTERMINATING	24	14	38	GNTA / GNTA
249	3.16	3.16	1.00	NONTERMINATING	20	18	38	Fixpoint / Fixpoint
250	2.83	2.83	1.00	NONTERMINATING	24	32	56	Fixpoint / Fixpoint
251	3.56	3.56	1.00	NONTERMINATING	116	39	155	Fixpoint / Fixpoint
252	1.86	53.78	2.00	NONTERMINATING	40	16	56	GNTA / GNTA
253	4.64	4.64	1.00	NONTERMINATING	28	21	49	Fixpoint / Fixpoint
254	1.95	42.73	2.00	NONTERMINATING	24	14	38	GNTA / GNTA
255	0.39	43.61	4.00	NONTERMINATING	46	29	75	GNTA / GNTA
256	1.97	45.53	2.00	NONTERMINATING	43	8	51	GNTA / GNTA
257	1.62	45.61	1.00	NONTERMINATING	49	13	62	GNTA / GNTA
258	1.41	1.41	1.00	NONTERMINATING	48	15	63	Fixpoint / Fixpoint
259	1.77	1.77	1.00	NONTERMINATING	95	28	123	Fixpoint / Fixpoint
260	1.70	1.70	2.00	NONTERMINATING	39	26	65	Fixpoint / Fixpoint
261	1.85	43.68	1.00	NONTERMINATING	28	19	47	GNTA / GNTA
262	1.94	46.49	2.00	NONTERMINATING	28	25	53	GNTA / GNTA
263	3.27	3.27	1.00	NONTERMINATING	44	17	61	Fixpoint / Fixpoint
264	3.15	3.15	1.00	NONTERMINATING	48	23	71	Fixpoint / Fixpoint
265	3.15	3.15	1.00	NONTERMINATING	48	27	75	Fixpoint / Fixpoint
266	2.10	2.10	2.00	NONTERMINATING	391	8	399	Fixpoint / Fixpoint
267	2.33	2.33	3.00	NONTERMINATING	344	26	370	Fixpoint / Fixpoint
268	2.05	2.05	2.00	NONTERMINATING	320	26	346	Fixpoint / Fixpoint
269	2.63	2.63	2.00	NONTERMINATING	320	26	346	Fixpoint / Fixpoint
270	2.72	2.72	1.00	NONTERMINATING	40	30	70	Fixpoint / Fixpoint
